wellid,year,sampledate,daynum,ph,ph_bubbled,cond,alk,dic,doc,no3no2,nh4n,totn,totp,drsi,brsi,cl,so4,ca,mg,na,k,fe,mn,flagph,flagph_bubbled,flagalk,flagdic,flagdoc,flagno3no2,flagnh4n,flagtotn,flagtotp,flagdrsi,flagbrsi,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn
"D3",1984,1984-11-07 00:00:00,312,7.73,,,1699,,,70.1,11,,,7718,,11.59,5.45,23.95,5.76,3.64,2.38,,,,,,,,,,,,,,,,,,,,,
"D3",1985,1985-03-16 00:00:00,75,7.34,,,1604,,,20.4,10,,,7759,,9.88,5.40,27.20,10.44,3.62,2.47,,,,,,,,,,"E","E",,,,,,,,"E",,
"D3",1985,1985-06-01 00:00:00,152,7.46,,,1655,,,0.0,24,,,7729,,,5.11,27.00,6.75,1.05,2.45,,,,,,,,,,,,,,,,,,,,,
"D3",1985,1985-08-22 00:00:00,234,,,,,,,0.0,35,,,7538,,11.95,4.78,26.87,6.85,2.01,2.37,,,,,,,,,,,,,,"E",,,,,,,
"D3",1985,1985-11-16 00:00:00,320,7.51,,,1987,,,0.0,57,,,7885,,10.80,4.33,25.02,6.63,3.72,2.27,,,,,,,,,,,"E",,,,,"E",,,,,
"D3",1986,1986-03-01 00:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D3",1986,1986-05-13 00:00:00,133,7.87,,,1629,,,42.1,23,,,7326,,5.86,5.16,25.67,6.49,3.49,2.16,,,,,,,,,,,,,,,,,,,,,
"D3",1986,1986-09-03 00:00:00,246,7.73,,,1530,,,62.5,13,,,7543,,16.10,5.89,24.25,6.56,3.57,2.14,,,,,,,,,,,,,,,,,,,,,
"D3",1986,1986-11-05 00:00:00,309,7.80,,,1662,,,,,,,7954,,13.98,5.37,24.47,6.29,3.44,2.13,,,,,,,,,,,,,,,,,,,,,
"D3",1987,1987-11-16 00:00:00,320,7.63,,,,19.86,1.25,,,,,,,9.98,6.37,26.13,6.65,3.40,2.20,,,,,,,,,,,,,,,,,,,,,"E"
"D3",1988,1988-10-27 00:00:00,301,7.96,,182,1582,20.14,1.37,93.0,13,49,4,8269,6788,10.48,5.95,26.62,6.35,,2.10,0.00,0.12,,,,,,,,"E","E",,,,,,,,"E",,
"D3",1989,1989-10-24 00:00:00,297,7.67,,196,1570,20.29,4.08,86.0,15,126,9,8291,8136,9.36,6.26,,6.39,,2.08,0.00,0.07,,,,,,"G","G",,,,,,,"H","E",,,,
"D3",1990,1990-11-15 00:00:00,319,7.86,,199,1550,20.00,1.94,97.0,6,115,5,8870,8943,8.38,6.45,25.56,6.11,3.72,1.97,0.06,0.09,,,,,,,,,,,,,,"H",,"H","H",,
"D3",1991,1991-10-23 00:00:00,296,7.47,,191,1594,20.40,1.44,80.0,8,121,14,7887,8098,6.85,6.75,,5.89,,2.00,,,,,,,,,,,,,,,"E",,,,,,
"D3",1992,1992-12-15 00:00:00,350,7.61,,188,1575,19.30,1.67,,17,324,49,8415,8207,6.07,6.61,24.49,5.97,3.56,2.11,0.00,0.03,,,,,,"G",,"D",,,,,"B",,,,,,
"D3",1993,1993-11-29 00:00:00,333,7.85,,179,1561,19.45,1.10,181.0,12,163,7,8721,8879,5.89,6.69,22.86,5.99,3.56,1.82,0.00,0.05,,,,,,,,,,,"E",,,"HE",,,,,
"D3",1994,1994-12-20 00:00:00,354,7.69,,,1597,19.63,1.21,51.0,13,153,10,7719,7602,7.43,6.88,27.30,7.32,3.78,1.92,0.00,0.08,,,,,,,,,,,,,,,,,,,
"D3",1996,1996-11-20 00:00:00,325,7.92,8.35,183,1458,19.09,1.16,74.0,7,0,36,14915,13257,7.49,6.73,22.88,6.36,3.94,2.66,2.47,0.12,,,,,,,,,,"E","E",,,,,,,,
"D3",1997,1997-11-10 00:00:00,314,7.98,,196,1512,19.40,1.37,78.0,26,95,14,7678,7465,7.66,6.26,24.41,5.99,3.78,1.96,0.05,0.08,,,,,,,,,,,,,,,,,,,
"D3",1998,1998-10-27 00:00:00,300,7.90,8.17,185,2822,19.42,0.95,105.0,4,74,8,8943,8766,8.16,6.69,21.19,5.96,3.52,1.83,0.00,0.02,,,,,,,,,"E",,,,,,,,,,
"D3",1999,1999-10-29 00:00:00,302,7.85,8.23,191,2987,19.83,0.98,85.0,7,293,16,7881,8397,7.97,5.36,24.62,6.06,3.91,2.08,0.02,0.02,,,,,,,,,,,,"E",,,,,,,
"D3",2000,2000-11-29 00:00:00,303,7.87,8.10,188,1549,19.20,1.18,82.0,13,217,8,8863,8854,7.73,5.58,23.03,5.77,3.86,1.88,0.01,0.02,,,,,,,,,,,,,,,,,,,
"D3",2001,2001-11-05 00:00:00,309,7.85,8.14,193,1485,18.58,1.27,85.0,10,122,38,9101,8989,5.94,5.53,26.81,6.88,3.88,1.73,0.00,0.02,,,,,,,,,,,,,,,,,,,
"D3",2002,2002-10-28 00:00:00,301,7.74,7.72,185,1415,17.87,0.75,85.0,2,154,7,9613,9608,7.33,5.94,21.70,5.65,3.64,1.61,0.01,0.01,,,,,,,,,,,,"E","E",,,,,,
"D3",2003,2003-10-09 00:00:00,282,7.90,8.03,176,1662,19.27,0.72,70.0,3,139,11,9070,,,,,,,,,,,,,,,,,,,,,"C","C","C","C","C","C","C","C"
"D3",2004,2004-10-20 00:00:00,294,7.78,8.15,175,1615,17.68,1.37,3.0,16,125,9,8357,,0.84,0.84,23.60,5.66,3.68,1.63,0.00,0.20,,,,,,,,"E","E","E",,"AE","AE",,,,,,
"D3",2005,2005-11-03 00:00:00,305,7.71,8.16,169,1435,16.74,0.97,113.0,10,184,15,9097,,7.27,6.19,20.90,5.43,3.74,1.48,0.05,0.02,,,,,,"E","E","E","E",,,,,,,,,,
"D3",2006,2006-10-10 00:00:00,283,7.77,7.98,162,1339,15.84,0.89,116.0,7,107,7,9178,,6.97,5.91,22.30,5.38,3.55,1.42,0.00,0.01,,,,,,"E","E",,,,,,,"E","E","E","E","E","E"
"D3",2007,2007-11-01 00:00:00,305,7.78,8.15,191,1404,16.95,1.26,130.0,40,229,5,8436,,9.31,5.72,25.70,6.08,3.95,1.86,0.01,0.03,,,,,,"E","E",,,,,,,,,,,,
"D3",2008,2008-10-28 00:00:00,302,7.70,8.13,173,1402,16.42,1.72,56.0,8,16,129,8911,,7.06,4.98,24.10,5.92,4.11,1.49,0.01,0.01,,,,,,,,"E","E",,,,,,,,,,
"D3",2009,2009-11-02 00:00:00,306,7.90,8.01,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D3",2010,2010-10-18 00:00:00,291,7.76,8.07,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D3",2011,2011-11-07 00:00:00,311,7.80,8.09,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D3",2012,2012-11-12 00:00:00,317,7.72,7.98,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D3",2013,2013-10-23 00:00:00,296,7.85,8.19,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D4",1984,1984-11-07 00:00:00,312,5.70,,,272,,,2.4,12,,,6987,,1.05,8.00,4.92,1.56,1.39,0.57,,,,,,,,,,,,,,,,,,,,,
"D4",1985,1985-06-01 00:00:00,152,5.88,,,257,,,2.3,6,,,6451,,0.61,6.78,4.70,1.61,1.33,0.71,,,,,,,,,,,,,,,,,,"E",,,
"D4",1985,1985-11-16 00:00:00,320,5.77,,,398,,,0.0,8,,,7353,,1.39,6.91,6.18,1.85,1.51,0.69,,,,,,,,,,,,,,,,,,"E","E",,
"D4",1986,1986-05-13 00:00:00,133,5.88,,,267,,,2.1,5,,,6240,,2.48,6.06,5.44,1.71,1.32,0.51,,,,,,,,,,"E","E",,,,,,,,,,
"D4",1988,1988-10-27 00:00:00,301,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,,
"D4",1990,1990-11-15 00:00:00,319,5.90,,53,249,10.66,2.21,4.0,35,118,1,7305,7296,0.61,8.10,5.03,1.47,1.81,0.51,0.00,0.00,,,,,,,,,,"E","E",,,,,,,,
"D4",1992,1992-12-15 00:00:00,350,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,,
"D4",1993,1993-11-29 00:00:00,333,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,,
"D4",1994,1994-12-20 00:00:00,354,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,,
"D4",1996,1996-11-20 00:00:00,325,,,,,,,,,,,,,,,,,,,,,"C","C",,,,,,,,,,,,,,,,,
"D4",1997,1997-11-10 00:00:00,314,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,,
"D4",2002,2002-10-28 00:00:00,301,6.03,7.45,49,287,3.87,0.63,21.0,17,150,9,6668,10630,1.12,4.79,4.83,1.36,1.45,0.42,0.03,0.01,,,,,,,,,,,,,,,,,,,
"D4",2003,2003-10-09 00:00:00,282,,,,,,,,,,,,,,,,,,,,,"C","C","C","C","C","C","C","C","C","C",,"C","C","C","C","C","C","C","C"
"D4",2004,2004-10-20 00:00:00,294,,,,,,,,,,,,,,,,,,,,,"C","C","C","C","C","C","C","C","C","C",,"C","C","C","C","C","C","C","C"
"D4",2005,2005-11-03 00:00:00,305,,,,,,,,,,,,,,,,,,,,,"C","C","C","C","C","C","C","C","C","C",,"C","C","C","C","C","C","C","C"
"D4",2006,2006-10-10 00:00:00,283,,,,,,,,,,,,,,,,,,,,,"C","C","C","C","C","C","C","C","C","C",,"C","C","C","C","C","C","C","C"
"D4",2007,2007-11-01 00:00:00,305,,,,,,,,,,,,,,,,,,,,,"C","C",,,,,,,,,,,,,,,,,
"D4",2008,2008-10-28 00:00:00,302,,,,,,,,,,,,,,,,,,,,,"C","C",,,,,,,,,,,,,,,,,
"D4",2009,2009-11-02 00:00:00,306,,,,,,,,,,,,,,,,,,,,,"C","C",,,,,,,,,,,,,,,,,
"D4",2010,2010-10-18 00:00:00,291,5.92,7.56,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D4",2011,2011-11-07 00:00:00,311,,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,
"D4",2012,2012-11-12 00:00:00,317,,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,
"D4",2013,2013-10-23 00:00:00,296,,,,,,,,,,,,,,,,,,,,,,"C",,,,,,,,,,,,,,,,,
"K1",1984,1984-11-07 00:00:00,312,5.65,,,98,,,15.6,88,,,815,,0.53,1.99,0.91,0.28,0.51,0.57,,,,,,,,,,,,,,,,,,,,,
"K1",1985,1985-03-16 00:00:00,75,5.67,,,76,,,0.0,579,,,620,,0.49,2.12,1.11,0.35,0.33,0.51,,,,,,,,,,,,,,,,"E","E",,,,
"K1",1985,1985-06-01 00:00:00,152,5.80,,,73,,,2.3,126,,,622,,0.66,2.97,0.91,0.29,0.38,0.40,,,,,,,,,,,,,,,,,,,,,
"K1",1985,1985-08-22 00:00:00,234,,,,,,,0.0,83,,,799,,0.39,1.62,0.81,0.26,0.41,0.41,,,,,,,,,,,,,,,,,,,,,
"K1",1985,1985-11-16 00:00:00,320,5.66,,,88,,,6.4,78,,,818,,0.59,1.46,0.79,0.29,0.48,0.43,,,,,,,,,,"E","E",,,,,,,,,"E","E"
"K1",1986,1986-03-01 00:00:00,60,5.68,,,42,,,0.0,72,,,525,,0.68,3.85,0.89,0.32,,0.27,,,,,,,,,,,,,,,,,,,,,
"K1",1986,1986-05-13 00:00:00,133,5.90,,,94,,,0.0,90,,,464,,0.60,3.43,0.94,0.41,0.14,0.34,,,,,,,,,,,,,,,,,,,,,
"K1",1986,1986-09-03 00:00:00,246,5.93,,,372,,,7.2,137,,,738,,0.45,1.64,0.99,0.36,0.44,0.47,,,,,,,,,,,,,,,,,,,,,
"K1",1986,1986-11-05 00:00:00,309,5.82,,,154,5.37,1.14,,,,,776,,0.58,1.49,0.96,0.32,0.44,0.51,,,,,,,,,,,,,,,,,,,,,
"K1",1987,1987-11-16 00:00:00,320,5.71,,,,3.72,0.93,,,,,,,0.47,3.66,1.14,0.31,0.58,0.35,,,,,,,,,,,,,,,,,,,,,
"K1",1988,1988-10-27 00:00:00,301,5.94,,18,101,6.50,0.97,6.0,146,144,8,846,858,0.63,3.14,1.32,0.39,0.59,0.53,1.72,0.00,,,,,,,,,,,,,,,,,,,
"K1",1989,1989-10-24 00:00:00,297,5.73,,33,58,3.19,3.60,5.0,133,131,1,970,949,,,2.04,0.88,,0.42,2.40,0.00,,,,,,"G","G","E","E",,,,,"C","C",,,,
"K1",1990,1990-11-15 00:00:00,319,5.77,,39,62,3.71,1.33,0.0,111,124,0,913,895,1.06,9.61,2.34,0.52,1.66,0.42,2.10,0.04,,,,,,,,,,"E",,,,,,,,,"E"
"K1",1991,1991-10-23 00:00:00,296,5.73,,47,73,5.20,1.88,2.0,129,166,3,949,977,2.43,11.56,3.42,0.74,1.71,0.47,2.75,0.09,,,,,,,,,,,,,,,,,,,
"K1",1992,1992-12-15 00:00:00,350,5.60,,57,124,14.41,0.95,0.0,87,114,1,870,773,0.33,14.13,4.42,1.04,2.09,0.47,2.78,0.07,,,,,,"G",,,,,,"E","EB",,,,,,
"K1",1993,1993-11-29 00:00:00,333,5.72,,37,261,18.60,1.39,,,108,2,780,766,0.53,2.53,3.75,0.68,0.71,0.35,2.01,0.03,,,,,,,,"D","D",,,,,,,,,,
"K1",1994,1994-12-20 00:00:00,354,5.67,,,210,8.63,1.97,8.0,45,120,13,821,779,0.23,1.14,3.75,0.58,0.61,0.33,1.31,0.00,,,,,,,,,,,,,,,,,,,
"K1",1996,1996-11-20 00:00:00,325,5.91,7.68,21,142,6.77,2.43,0.0,32,3,71,1252,1263,0.46,0.32,2.13,0.38,0.59,0.49,0.68,0.01,,,,,,,,,,"E","E",,,,,,,,
"K1",1997,1997-11-10 00:00:00,314,5.61,,15,119,6.07,2.92,0.0,64,180,41,1256,2351,0.46,0.36,1.35,0.54,0.50,0.73,1.08,0.01,,,,,,,,,,,,,,,,,,,
"K1",1998,1998-10-27 00:00:00,300,5.77,6.89,13,62,3.94,2.70,15.0,107,155,2,1018,996,0.50,0.17,0.61,0.28,0.50,0.56,0.78,0.00,,,,,,,,,,,,,,,,,,,
"K1",1999,1999-10-29 00:00:00,302,5.51,6.96,30,60,6.89,1.99,2.0,196,556,4,1150,1137,0.39,6.04,1.80,0.80,0.94,1.12,1.78,0.04,,,,,,,,,,,,,,,,,,,
"K1",2000,2000-11-29 00:00:00,303,4.98,5.68,29,56,4.09,1.45,1.0,234,443,9,1141,1067,0.73,6.32,1.23,0.62,0.71,0.86,2.31,0.03,,,,,,,,,,,,"E","E","E","E","E","E","E","E"
"K1",2001,2001-11-05 00:00:00,309,5.46,6.27,32,-7,0.75,2.25,11.0,366,174,7,1180,1157,0.78,7.42,1.33,0.56,0.77,0.84,2.48,0.04,,,,,,,,,,,,,,,,,,,
"K1",2002,2002-10-28 00:00:00,301,5.51,6.19,56,-47,1.01,2.50,1.0,410,216,10,1218,1130,0.60,7.63,1.29,0.60,1.21,1.34,2.50,0.04,,,,,,,,,,,,,,,,,,,
"K1",2003,2003-10-09 00:00:00,282,5.70,6.58,27,83,2.46,3.16,2.0,245,344,4,1156,,0.48,3.18,0.88,0.38,1.08,0.59,2.33,0.03,,,,,,,,,,,,"E","E",,,,,,
